sequence,clones,method,trial,process_wall_ms,replay_wall_ms,api_compute_ms,decode_ms,ate_m,rpe_m,rpe_rotation_deg,admitted
V1_01_easy,11,original,1,18049.656220013276,17986.686766,11373.942420000025,6562.45375699999,0.06474416660400822,0.04456440227276713,0.4758912716032934,True
V1_01_easy,11,original,2,18041.0844408907,17979.006474,11366.399792000006,6562.190094000014,0.06474416660400822,0.04456440227276713,0.4758912716032934,True
V1_01_easy,11,original,3,18032.077179988846,17968.892135,11357.419948000002,6561.420404000011,0.06474416660400822,0.04456440227276713,0.4758912716032934,True
V1_01_easy,11,root_messages,1,16125.178319169208,16054.729509,9438.727362999973,6558.070932999992,0.06474438417082305,0.044564409224540295,0.4758912645748026,True
V1_01_easy,11,root_messages,2,16109.803461935371,16039.27537,9427.741292000004,6553.6498679999995,0.06474438417082305,0.044564409224540295,0.4758912645748026,True
V1_01_easy,11,root_messages,3,16166.798409074545,16096.215687,9477.312304999994,6560.998068000002,0.06474438417082305,0.044564409224540295,0.4758912645748026,True
V1_01_easy,11,enhanced_ekf,1,16009.32853599079,15942.207301,9331.78848599999,6557.602140000005,0.06474431607932418,0.04456440570099035,0.4758912802582189,True
V1_01_easy,11,enhanced_ekf,2,16070.081959012896,16003.232233,9389.465173000004,6562.000808,0.06474431607932418,0.04456440570099035,0.4758912802582189,True
V1_01_easy,11,enhanced_ekf,3,16028.398283058777,15961.151699,9350.63455299999,6558.755978000003,0.06474431607932418,0.04456440570099035,0.4758912802582189,True
V1_01_easy,21,original,1,19694.03523998335,19631.091048,13023.418587999986,6558.265046000003,0.05424337290451041,0.045074224186452856,0.47293679167035185,True
V1_01_easy,21,original,2,19705.522002186626,19641.797027,13037.452377000003,6555.389665999993,0.05424337290451041,0.045074224186452856,0.47293679167035185,True
V1_01_easy,21,original,3,19714.202655944973,19651.274897,13042.36184200001,6560.306038999976,0.05424337290451041,0.045074224186452856,0.47293679167035185,True
V1_01_easy,21,root_messages,1,16726.140943123028,16656.439959,10028.188093000002,6565.242464000004,0.05424316098339708,0.045074221443910704,0.4729367558251741,True
V1_01_easy,21,root_messages,2,16629.446079023182,16556.339464,9926.227840999996,6567.086946999985,0.05424316098339708,0.045074221443910704,0.4729367558251741,True
V1_01_easy,21,root_messages,3,16600.771058816463,16530.403823,9903.144484999997,6565.4025999999885,0.05424316098339708,0.045074221443910704,0.4729367558251741,True
V1_01_easy,21,enhanced_ekf,1,16821.24731107615,16753.983261,10132.572003999998,6570.030570999997,0.05424318385947429,0.045074218230361396,0.47293679903637703,True
